,movie_title,movie_id,similitud,user_id,genero
0,The Count of Monte Cristo,5064,0.8900176782580651,609,Action
1,Jurassic World,117529,0.8872412671704892,609,Action
2,The Hunger Games,91500,0.88384283330354,609,Action
3,Daylight,798,0.8818438165105003,609,Action
4,Jumper,58025,0.8790629739390687,609,Action
5,Children of Men,48774,0.8765646947166392,609,Action
6,"Day After Tomorrow, The",8361,0.8739931654987023,609,Action
7,Zero Dark Thirty,98961,0.8735270812921409,609,Action
8,City of God (Cidade de Deus),6016,0.8713476605442806,609,Action
9,Body of Lies,62374,0.8691898130115732,609,Action
10,Bad Boys,145,0.8231542137723915,609,Comedy
11,Money Train,20,0.8231542137723915,609,Comedy
12,Wild Tales,116897,0.7993041559079953,609,Comedy
13,Machete,80219,0.7815637855825857,609,Comedy
14,"Mummy Returns, The",4270,0.7770518298161246,609,Comedy
15,In Bruges,57669,0.7734206417583676,609,Comedy
16,To Die For,45,0.7724473355241157,609,Comedy
17,Charlie's Angels: Full Throttle,6503,0.7716381633292448,609,Comedy
18,Shallow Grave,319,0.7707759757155743,609,Comedy
19,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo),1429,0.76917944488968,609,Comedy
20,Tequila Sunrise,2802,0.7982802456866522,609,Romance
21,Lara Croft Tomb Raider: The Cradle of Life,6564,0.7590079707292361,609,Romance
22,"Lives of Others, The (Das leben der Anderen)",44555,0.7579833237023703,609,Romance
23,21,58803,0.7458722449784267,609,Romance
24,True Lies,380,0.7448242332981941,609,Romance
25,Nurse Betty,3893,0.7417494065524217,609,Romance
26,Twister,736,0.7410133519844749,609,Romance
27,Out of Sight,1912,0.7385776616310207,609,Romance
28,"Crying Game, The",1094,0.7352268423939683,609,Romance
29,"Bodyguard, The",3257,0.7352268423939683,609,Romance
30,Ice Age: Dawn of the Dinosaurs,69644,0.852299268690279,161,Action
31,The Lego Movie,108932,0.8319171927598379,161,Action
32,Zootopia,152081,0.8298922963165891,161,Action
33,Bolt,63859,0.8229675505503591,161,Action
34,"Incredibles, The",8961,0.8191184117044259,161,Action
35,"Sorcerer's Apprentice, The",79139,0.7799963582050293,161,Action
36,Spy Kids,4232,0.7689195486047604,161,Action
37,Inspector Gadget,2720,0.7666803278068641,161,Action
38,Rango,84944,0.7631282631380087,161,Action
39,Kung Fu Panda 2,87222,0.7631282631380087,161,Action
40,Enchanted,56152,0.8793346261555101,161,Comedy
41,Mulan,1907,0.8785058480388219,161,Comedy
42,Shrek,4306,0.8781616469126252,161,Comedy
43,Inside Out,134853,0.8738732873989588,161,Comedy
44,Shrek 2,8360,0.8726651374110175,161,Comedy
45,Minions,135887,0.8701826597509202,161,Comedy
46,Moana,166461,0.8653724874554738,161,Comedy
47,Over the Hedge,45431,0.863448427270232,161,Comedy
48,Ice Age 2: The Meltdown,44022,0.863448427270232,161,Comedy
49,Madagascar,33615,0.862603885556406,161,Comedy
50,Enchanted,56152,0.8793346261555101,161,Romance
51,Mulan,1907,0.8785058480388219,161,Romance
52,Shrek,4306,0.8781616469126252,161,Romance
53,Shrek 2,8360,0.8726651374110175,161,Romance
54,Ice Age: Dawn of the Dinosaurs,69644,0.852299268690279,161,Romance
55,"Kid in King Arthur's Court, A",258,0.8278119307365692,161,Romance
56,Frozen,106696,0.8228035591319712,161,Romance
57,"Goofy Movie, A",239,0.8226830218889742,161,Romance
58,Aladdin and the King of Thieves,1064,0.8140811923366653,161,Romance
59,Porco Rosso (Crimson Pig) (Kurenai no buta),26776,0.8059529351519538,161,Romance
60,Money Train,20,0.8386446632786386,266,Action
61,Machete,80219,0.8327840266144559,266,Action
62,Now You See Me 2,159093,0.8246952901877711,266,Action
63,"Blind Swordsman: Zatoichi, The (Zatôichi)",8370,0.8230787273303497,266,Action
64,Charlie's Angels: Full Throttle,6503,0.8228293619865379,266,Action
65,"Mummy Returns, The",4270,0.8176706133736815,266,Action
66,"A-Team, The",78469,0.8171876483028009,266,Action
67,The Man from U.N.C.L.E.,138036,0.8131447222365038,266,Action
68,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo),1429,0.8096845667641439,266,Action
69,Kingsman: The Secret Service,119145,0.8094212818261428,266,Action
70,Money Train,20,0.8386446632786386,266,Comedy
71,Machete,80219,0.8327840266144559,266,Comedy
72,Now You See Me 2,159093,0.8246952901877711,266,Comedy
73,"Blind Swordsman: Zatoichi, The (Zatôichi)",8370,0.8230787273303497,266,Comedy
74,Charlie's Angels: Full Throttle,6503,0.8228293619865379,266,Comedy
75,"Mummy Returns, The",4270,0.8176706133736815,266,Comedy
76,"A-Team, The",78469,0.8171876483028009,266,Comedy
77,The Man from U.N.C.L.E.,138036,0.8131447222365038,266,Comedy
78,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo),1429,0.8096845667641439,266,Comedy
79,Kingsman: The Secret Service,119145,0.8094212818261428,266,Comedy
80,Lara Croft Tomb Raider: The Cradle of Life,6564,0.7841222108162782,266,Romance
81,True Lies,380,0.7694900155157018,266,Romance
82,Mr. & Mrs. Smith,33679,0.7529034044093196,266,Romance
83,Nurse Betty,3893,0.7448437998401447,266,Romance
84,This Means War,93326,0.7415016248636217,266,Romance
85,Date Night,76293,0.7385103440757428,266,Romance
86,"Three Musketeers, The",552,0.7323195619777205,266,Romance
87,Focus,129354,0.7307906157781203,266,Romance
88,Jumpin' Jack Flash,2468,0.7286359004988552,266,Romance
89,"Knight's Tale, A",4299,0.723846344152139,266,Romance
